 Projeçăo da Populaçăo das Unidades da Federaçăo por sexo, idade simples ou faixa-etária: 2000-2070 (ediçăo 2024)
Populaçăo residente por Faixa Etária 1 e Ano
Unidade da Federaçăo: Rio Grande do Sul
Período:2010, 2021
"Faixa Etária 1";"2010";"2021"
"0 a 4 anos";680340;669911
"5 a 9 anos";779756;700965
"10 a 14 anos";860277;667175
"15 a 19 anos";878878;755848
"20 a 24 anos";890742;820035
"25 a 29 anos";903308;827134
"30 a 34 anos";832047;825369
"35 a 39 anos";752625;856159
"40 a 44 anos";767669;812134
"45 a 49 anos";778832;721238
"50 a 54 anos";701386;717482
"55 a 59 anos";590087;726965
"60 a 64 anos";464890;648609
"65 a 69 anos";343405;527346
"70 a 74 anos";261741;394223
"75 a 79 anos";190725;261572
"80 a 84 anos";120233;163667
"85 a 89 anos";56711;87519
"90 anos e mais";25808;44438
"Total";10879460;11227789
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenaçăo de Populaçăo e Indicadores Sociais. Geręncia de Estudos e Análises da Dinâmica Demográfica.
 Projeçăo da populaçăo do Brasil e Unidades da Federaçăo por sexo e idade para o período 2000-2070 (ediçăo 2024)
 
